,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,net_capital
13610,40,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,75,US,1,0
13611,27,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,30,US,0,0
13613,43,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,50,US,0,0
13614,22,Private,Bachelor's Degree,13,Never Married,White Collar,Other Relative,White,Female,40,US,0,0
13615,17,Private,Some High School,7,Never Married,White Collar,Not family,White,Female,12,Other,0,0
13617,49,Private,Some High School,6,Previously Married,White Collar,Not family,Other,Male,99,US,0,4416
13620,45,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
13621,33,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13622,25,Private,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,60,US,0,2829
13623,71,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,36,US,0,0
13625,41,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,80,US,1,0
13626,21,Unknown,Some High School,6,Never Married,Unknown,Not family,White,Female,30,US,0,0
13627,47,Private,High School Graduate,9,Married,White Collar,Not family,White,Female,20,Other,0,0
13628,30,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,65,US,0,0
13629,40,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,40,Other,0,0
13630,44,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,48,US,0,0
13631,50,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,-1977
13632,31,Government,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13634,45,Private,Some High School,8,Married,White Collar,Spouse,White,Male,50,US,0,2407
13636,78,Self-employed,Some High School,7,Married,White Collar,Spouse,White,Male,10,US,0,0
13638,39,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Male,40,US,0,0
13640,46,Government,Advanced Degree,14,Previously Married,White Collar,Not family,White,Female,50,Other,0,0
13641,30,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Male,50,US,1,0
13642,34,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,35,US,0,0
13643,30,Government,High School Graduate,9,Previously Married,White Collar,Other Relative,Other,Male,35,US,0,0
13644,47,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,40,US,1,0
13645,40,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,17,US,1,0
13646,62,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,40,US,0,0
13647,44,Self-employed,High School Graduate,9,Married,White Collar,Spouse,Other,Male,70,Other,0,0
13648,40,Private,High School Graduate,9,Previously Married,Blue Collar,Other Relative,White,Female,40,Other,0,0
13650,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
13651,55,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,42,US,1,15024
13653,38,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13654,49,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
13655,49,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,15024
13656,30,Government,High School Graduate,9,Previously Married,Service,Not family,White,Female,26,US,0,0
13658,34,Private,Some High School,5,Previously Married,Blue Collar,Not family,Other,Male,40,US,0,0
13659,42,Government,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Female,40,US,0,0
13660,46,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,65,US,1,-2415
13661,43,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,40,US,1,0
13662,62,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,38,US,0,0
13664,58,Government,No formal education,2,Previously Married,Blue Collar,Not family,Other,Male,40,US,0,0
13665,30,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Female,40,US,0,0
13666,37,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,70,Other,0,0
13668,64,Government,Some High School,5,Never Married,White Collar,Not family,White,Female,38,US,0,0
13669,42,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,1,0
13670,43,Government,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13671,34,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13674,45,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
13677,70,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,35,US,0,0
13678,27,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,35,US,0,0
13679,34,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13680,57,Private,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13681,37,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
13682,52,Private,No formal education,2,Married,White Collar,Spouse,White,Male,50,US,1,0
13683,32,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,48,US,0,0
13686,50,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
13689,40,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,38,US,0,6849
13690,39,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,45,US,0,0
13691,51,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,60,Unknown,1,-1977
13694,63,Self-employed,No formal education,3,Never Married,White Collar,Not family,White,Female,3,US,0,0
13695,50,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,15024
13696,82,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
13698,37,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
13700,31,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,50,US,0,0
13703,47,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
13704,48,Private,Some High School,7,Married,Blue Collar,Spouse,White,Male,50,US,0,0
13705,27,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Female,33,US,0,0
13708,57,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,75,US,0,0
13710,39,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
13711,56,Unknown,Collage/Associate Degree,10,Previously Married,Unknown,Not family,White,Female,50,US,1,0
13714,37,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,40,US,1,7298
13716,29,Government,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,45,US,0,0
13717,30,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,52,US,0,0
13721,31,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13722,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,-1977
13723,36,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13725,20,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,35,US,0,0
13726,46,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,60,US,0,0
13727,44,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,0,0
13728,39,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,38,US,0,0
13729,39,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,55,US,0,0
13731,28,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,55,US,0,0
13732,44,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,35,US,0,0
13733,48,Government,High School Graduate,9,Married,White Collar,Spouse,Other,Male,38,US,1,7298
13734,27,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,70,US,0,0
13735,34,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
13736,35,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13737,28,Government,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
13738,25,Private,Advanced Degree,15,Never Married,White Collar,Not family,White,Female,30,US,0,0
13741,63,Self-employed,No formal education,4,Previously Married,Blue Collar,Not family,White,Female,10,US,0,0
13743,32,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13744,25,Unknown,Some High School,7,Never Married,Unknown,Not family,White,Female,40,US,0,0
13746,23,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,60,US,0,0
13747,38,Private,Advanced Degree,14,Married,White Collar,Spouse,Other,Male,40,Unknown,0,0
13748,36,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,60,US,1,-1977
13749,43,Private,High School Graduate,9,Previously Married,Service,Not family,Other,Female,35,US,0,-1762
13750,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,Other,1,0
13751,30,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,Other,0,0
13752,46,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,4064
13753,24,Government,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Female,25,US,0,0
13754,42,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,40,US,1,-2444
13756,27,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Male,50,US,0,0
13757,48,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
13758,31,Self-employed,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,44,US,0,0
13759,31,Private,No formal education,2,Never Married,Service,Other Relative,White,Female,25,Other,0,0
13761,36,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
13762,58,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,7688
13763,51,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,-1579
13765,72,Private,Some High School,6,Married,White Collar,Spouse,White,Male,15,US,0,0
13766,61,Private,Some High School,6,Married,Blue Collar,Spouse,White,Male,55,US,0,0
13768,37,Government,High School Graduate,9,Previously Married,White Collar,Not family,Other,Female,40,Unknown,0,0
13769,30,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,1,0
13772,65,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,15,US,0,0
13773,36,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13775,33,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,60,US,0,0
13776,64,Government,High School Graduate,9,Previously Married,Service,Not family,White,Female,40,US,0,0
13777,61,Self-employed,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,20,US,1,0
13778,38,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,45,US,0,0
13779,27,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,-1977
13781,39,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,1,0
13782,44,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
13783,47,Private,Collage/Associate Degree,10,Previously Married,White Collar,Other Relative,White,Female,40,US,0,0
13784,73,Unknown,Advanced Degree,15,Married,Unknown,Spouse,White,Male,40,US,0,0
13785,66,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,40,Other,0,0
13786,53,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
13787,43,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,55,US,1,0
13788,57,Government,Advanced Degree,16,Married,White Collar,Spouse,White,Male,40,US,1,0
13790,59,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,0,-2002
13791,52,Self-employed,High School Graduate,9,Previously Married,Service,Other Relative,Other,Female,40,US,0,0
13794,37,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
13795,41,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,0,0
13796,39,Government,High School Graduate,9,Married,White Collar,Spouse,Other,Male,40,US,0,-1628
13797,30,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,55,US,0,0
13800,40,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,30,US,0,0
13801,39,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,0,0
13802,24,Private,Some High School,6,Previously Married,Blue Collar,Not family,White,Female,58,US,0,0
13803,63,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
13805,34,Self-employed,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,50,US,0,0
13809,42,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13810,41,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Female,12,US,1,0
13811,56,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
13813,31,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Female,43,US,1,7688
13814,23,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,40,US,0,0
13816,36,Government,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,40,US,0,0
13817,37,Private,No formal education,3,Married,Service,Spouse,Other,Male,40,Unknown,0,0
13819,28,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
13820,59,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,Unknown,0,0
13823,30,Private,No formal education,4,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
13824,53,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
13825,54,Self-employed,Some High School,6,Married,Blue Collar,Spouse,White,Male,36,US,0,0
13826,26,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Male,50,Unknown,0,0
13830,58,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Male,39,US,1,4787
13832,53,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
13834,23,Private,No formal education,3,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
13836,36,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,35,US,1,-1977
13837,33,Government,High School Graduate,9,Previously Married,White Collar,Not family,Other,Female,35,US,0,0
13839,47,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,44,US,0,0
13841,44,Government,Advanced Degree,15,Previously Married,White Collar,Not family,White,Male,40,US,1,0
13843,45,Unknown,High School Graduate,9,Previously Married,Unknown,Not family,Other,Male,4,US,0,0
13844,24,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,44,Other,0,0
13845,65,Unknown,Bachelor's Degree,13,Married,Unknown,Spouse,White,Male,40,US,0,0
13846,45,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,50,US,0,0
13847,23,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,55,US,0,0
13850,45,Private,No formal education,3,Previously Married,Service,Not family,White,Female,35,Other,0,0
13851,50,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
13853,24,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
13854,42,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,-1672
13855,50,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,60,US,1,0
13856,58,Self-employed,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
13858,37,Private,Advanced Degree,16,Married,White Collar,Spouse,White,Male,99,Other,1,0
13861,29,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,48,US,0,0
13862,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,40,Other,1,0
13863,49,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,60,US,0,0
13865,72,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,16,US,0,0
13866,63,Self-employed,High School Graduate,9,Married,Service,Spouse,White,Male,12,US,0,0
13867,26,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
13869,40,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,0,0
13870,56,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
13871,55,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,72,US,0,0
13872,28,Private,Bachelor's Degree,13,Never Married,White Collar,Other Relative,White,Female,45,US,0,0
13873,57,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,40,US,0,0
13874,37,Private,Advanced Degree,14,Previously Married,White Collar,Not family,White,Male,45,US,1,0
13875,44,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13877,42,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,Other,0,0
13879,57,Self-employed,Some High School,6,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13880,53,Government,Collage/Associate Degree,10,Married,Service,Spouse,White,Male,35,US,0,0
13881,38,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,44,US,1,0
13882,33,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,50,US,0,0
13883,42,Private,Advanced Degree,14,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13884,70,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,60,US,0,0
13885,50,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,0,0
13888,72,Government,Some High School,7,Previously Married,White Collar,Not family,White,Female,8,Other,0,0
13889,33,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
13890,47,Private,High School Graduate,9,Married,Service,Spouse,Other,Male,25,Other,0,0
13891,48,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,0
13892,64,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,24,US,1,0
13893,19,Private,Some High School,7,Never Married,Service,Not family,White,Female,35,US,0,0
13896,55,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,35,US,1,15024
13897,24,Private,Advanced Degree,14,Never Married,Service,Not family,White,Female,45,Unknown,0,0
13898,42,Government,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
13899,43,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,50,Other,1,0
13901,55,Self-employed,Advanced Degree,14,Married,White Collar,Spouse,White,Male,60,US,0,0
13902,22,Private,High School Graduate,9,Married,Service,Spouse,White,Male,40,US,0,0
13903,39,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,60,US,0,0
13904,50,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,35,US,0,0
13905,47,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,1,-1887
13907,52,Private,Some High School,7,Previously Married,Service,Not family,White,Female,20,US,0,0
13908,30,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13909,37,Self-employed,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,50,US,0,0
13910,73,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,20,US,0,0
13911,50,Private,No formal education,4,Previously Married,Blue Collar,Not family,White,Male,60,US,0,0
13912,34,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,45,US,0,0
13914,66,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,24,US,1,0
13916,69,Government,Some High School,6,Married,Blue Collar,Spouse,White,Male,25,US,0,0
13919,35,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,30,US,0,0
13921,70,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,20,US,1,0
13923,34,Private,High School Graduate,9,Never Married,Service,Not family,Other,Male,40,Other,0,0
13924,38,Government,Advanced Degree,16,Married,White Collar,Spouse,White,Male,45,US,1,0
13926,43,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,26,US,0,0
13927,60,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
13928,81,Self-employed,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,3,Other,0,-1668
13929,32,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,55,US,0,0
13930,34,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,0,0
13931,46,Self-employed,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,25,US,0,0
13933,23,Unknown,High School Graduate,9,Never Married,Unknown,Other Relative,Other,Female,20,Other,0,0
13934,29,Private,Collage/Associate Degree,10,Married,Service,Spouse,White,Male,40,US,0,0
13935,51,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,60,US,0,0
13936,31,Private,No formal education,4,Never Married,Blue Collar,Other Relative,White,Male,25,US,0,0
13940,28,Government,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,40,US,0,0
13941,33,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
13942,40,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
13943,27,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,45,US,0,0
13944,38,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
13946,25,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Female,56,US,1,0
13947,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,7688
13949,66,Unknown,Collage/Associate Degree,10,Married,Unknown,Spouse,White,Male,40,US,1,0
13950,65,Government,Collage/Associate Degree,10,Never Married,White Collar,Not family,Other,Female,40,US,0,0
13952,54,Private,Some High School,7,Married,Service,Spouse,White,Female,43,US,0,0
13955,48,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,1,0
13956,23,Private,No formal education,3,Never Married,Service,Not family,White,Female,12,Other,0,0
13957,77,Private,High School Graduate,9,Married,Service,Spouse,White,Male,25,Other,0,0
13959,30,Private,High School Graduate,9,Married,White Collar,Not family,White,Female,30,US,0,0
13960,41,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,55,US,1,-1902
13961,35,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,55,Other,1,0
13963,66,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,10605
13964,49,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Female,40,Other,0,0
13965,52,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,US,1,0
13966,24,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Female,35,US,1,0
13967,50,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,15,US,0,0
13968,22,Private,Some High School,7,Never Married,Blue Collar,Not family,White,Male,65,US,0,0
13970,39,Private,Some High School,7,Never Married,White Collar,Not family,White,Female,30,Other,0,0
13971,45,Private,Bachelor's Degree,13,Married,Service,Spouse,Other,Male,38,Unknown,0,0
13972,61,Government,Bachelor's Degree,13,Previously Married,Service,Not family,White,Male,30,US,0,0
13975,40,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,45,US,1,-2415
13976,38,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
13977,52,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
13979,33,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
13981,34,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,55,US,0,0
13983,44,Private,Advanced Degree,14,Married,Blue Collar,Spouse,White,Male,45,US,1,15024
13985,44,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,40,US,1,0
13986,40,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Male,40,US,0,0
13989,76,Private,High School Graduate,9,Previously Married,Service,Not family,White,Male,17,US,0,0
13990,20,Private,High School Graduate,9,Married,White Collar,Other Relative,White,Male,40,US,0,0
13991,33,Private,Advanced Degree,15,Never Married,White Collar,Not family,White,Male,40,US,1,0
13992,31,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,0,0
13993,33,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,40,US,0,0
13995,29,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,50,US,0,-1590
13996,30,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,0,0
13997,48,Private,Advanced Degree,14,Previously Married,White Collar,Not family,White,Male,50,US,1,99999
13998,42,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,0
13999,37,Private,Some High School,7,Married,Blue Collar,Spouse,White,Male,40,US,0,0
14000,54,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,60,US,1,7688
14002,28,Self-employed,High School Graduate,9,Never Married,Service,Not family,White,Female,28,US,0,0
14004,60,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Female,40,US,1,3103
14005,76,Unknown,High School Graduate,9,Previously Married,Unknown,Not family,White,Female,25,US,0,0
14008,43,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
14010,45,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,35,US,1,4687
14011,38,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,Other,Female,40,US,0,0
14012,28,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
14015,49,Self-employed,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
14017,40,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
14019,45,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
14020,42,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Male,28,US,0,0
14021,29,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Female,40,US,0,0
14022,57,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,13,US,1,4386
14023,23,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
14026,39,Private,High School Graduate,9,Never Married,Service,Not family,White,Male,40,US,0,0
14027,34,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,1,0
14028,43,Self-employed,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,45,US,0,0
14030,40,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,60,Other,0,0
14031,52,Self-employed,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,25,US,0,0
14034,36,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
14036,36,Government,High School Graduate,9,Married,White Collar,Spouse,White,Female,40,US,1,0
14037,24,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,10,US,0,0
14038,42,Government,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
14040,40,Government,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,22,US,0,0
14041,50,Self-employed,Advanced Degree,15,Married,White Collar,Spouse,Other,Male,40,Other,0,0
14042,40,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,1,0
14043,22,Private,High School Graduate,9,Never Married,White Collar,Other Relative,Other,Male,40,Unknown,0,0
